district,latitude,longitude,disease,risk_index,date,cases_reported,population
Jhang,31.28,72.3317,dengue,2,2015-01-08,5,414131
Rahim Yar Khan,28.4212,70.2989,dengue,2,2015-01-08,5,420419
Gujrat,32.5739,74.0776,dengue,1,2015-01-08,3,390533
Kasur,31.1167,74.45,dengue,1,2015-01-08,3,358409
Karachi,24.8607,67.0011,malaria,9,2015-01-08,1395,14916456
Lahore,31.5204,74.3587,malaria,8,2015-01-08,964,11126285
Islamabad,33.6844,73.0479,malaria,4,2015-01-08,96,2000000
Faisalabad,31.4504,73.135,malaria,4,2015-01-08,159,3203846
Rawalpindi,33.5651,73.0169,malaria,5,2015-01-08,117,2098231
Multan,30.1575,71.5249,malaria,5,2015-01-08,110,1871843
Peshawar,34.0151,71.5249,malaria,5,2015-01-08,111,1970042
Quetta,30.1798,66.975,malaria,5,2015-01-08,52,1001205
Sialkot,32.4945,74.5229,malaria,5,2015-01-08,37,655852
Gujranwala,32.1617,74.1883,malaria,5,2015-01-08,102,2027001
Hyderabad,25.396,68.3578,malaria,7,2015-01-08,123,1734309
Sargodha,32.0836,72.6711,malaria,7,2015-01-08,47,659862
Bahawalpur,29.4,71.6833,malaria,5,2015-01-08,44,762111
Sukkur,27.7032,68.8589,malaria,5,2015-01-08,29,499900
Larkana,27.559,68.212,malaria,5,2015-01-08,28,490508
Sheikhupura,31.7167,73.9833,malaria,4,2015-01-08,23,473129
Jhang,31.28,72.3317,malaria,6,2015-01-08,28,414131
Rahim Yar Khan,28.4212,70.2989,malaria,4,2015-01-08,21,420419
Gujrat,32.5739,74.0776,malaria,5,2015-01-08,20,390533
Kasur,31.1167,74.45,malaria,4,2015-01-08,15,358409
Karachi,24.8607,67.0011,cholera,0,2015-01-08,9,14916456
Lahore,31.5204,74.3587,cholera,0,2015-01-08,7,11126285
Islamabad,33.6844,73.0479,cholera,0,2015-01-08,0,2000000
Faisalabad,31.4504,73.135,cholera,0,2015-01-08,1,3203846
Rawalpindi,33.5651,73.0169,cholera,0,2015-01-08,1,2098231
Multan,30.1575,71.5249,cholera,0,2015-01-08,0,1871843
Peshawar,34.0151,71.5249,cholera,0,2015-01-08,0,1970042
Quetta,30.1798,66.975,cholera,0,2015-01-08,0,1001205
Sialkot,32.4945,74.5229,cholera,0,2015-01-08,0,655852
Gujranwala,32.1617,74.1883,cholera,0,2015-01-08,0,2027001
Hyderabad,25.396,68.3578,cholera,0,2015-01-08,0,1734309
Sargodha,32.0836,72.6711,cholera,0,2015-01-08,0,659862
Bahawalpur,29.4,71.6833,cholera,0,2015-01-08,0,762111
Sukkur,27.7032,68.8589,cholera,0,2015-01-08,0,499900
Larkana,27.559,68.212,cholera,0,2015-01-08,0,490508
Sheikhupura,31.7167,73.9833,cholera,0,2015-01-08,0,473129
Jhang,31.28,72.3317,cholera,0,2015-01-08,0,414131
Rahim Yar Khan,28.4212,70.2989,cholera,0,2015-01-08,0,420419
Gujrat,32.5739,74.0776,cholera,0,2015-01-08,0,390533
Kasur,31.1167,74.45,cholera,0,2015-01-08,0,358409
Karachi,24.8607,67.0011,influenza,1,2015-01-08,1146,14916456
Lahore,31.5204,74.3587,influenza,0,2015-01-08,546,11126285
Islamabad,33.6844,73.0479,influenza,0,2015-01-08,84,2000000
Faisalabad,31.4504,73.135,influenza,0,2015-01-08,136,3203846
Rawalpindi,33.5651,73.0169,influenza,1,2015-01-08,112,2098231
Multan,30.1575,71.5249,influenza,0,2015-01-08,88,1871843
Peshawar,34.0151,71.5249,influenza,1,2015-01-08,102,1970042
Quetta,30.1798,66.975,influenza,1,2015-01-08,51,1001205
Sialkot,32.4945,74.5229,influenza,1,2015-01-08,39,655852
Gujranwala,32.1617,74.1883,influenza,1,2015-01-08,106,2027001
Hyderabad,25.396,68.3578,influenza,1,2015-01-08,92,1734309
Sargodha,32.0836,72.6711,influenza,0,2015-01-08,25,659862
Bahawalpur,29.4,71.6833,influenza,0,2015-01-08,36,762111
Sukkur,27.7032,68.8589,influenza,0,2015-01-08,24,499900
Larkana,27.559,68.212,influenza,1,2015-01-08,30,490508
Sheikhupura,31.7167,73.9833,influenza,1,2015-01-08,28,473129
Jhang,31.28,72.3317,influenza,0,2015-01-08,16,414131
Rahim Yar Khan,28.4212,70.2989,influenza,1,2015-01-08,22,420419
Gujrat,32.5739,74.0776,influenza,0,2015-01-08,19,390533
Kasur,31.1167,74.45,influenza,0,2015-01-08,13,358409
Karachi,24.8607,67.0011,covid19,21,2015-01-08,8620,14916456
Lahore,31.5204,74.3587,covid19,20,2015-01-08,5638,11126285
Islamabad,33.6844,73.0479,covid19,20,2015-01-08,1112,2000000
Faisalabad,31.4504,73.135,covid19,21,2015-01-08,2000,3203846
Rawalpindi,33.5651,73.0169,covid19,20,2015-01-08,1154,2098231
Multan,30.1575,71.5249,covid19,19,2015-01-08,909,1871843
Peshawar,34.0151,71.5249,covid19,21,2015-01-08,1171,1970042
Quetta,30.1798,66.975,covid19,20,2015-01-08,555,1001205
Sialkot,32.4945,74.5229,covid19,16,2015-01-08,267,655852
Gujranwala,32.1617,74.1883,covid19,23,2015-01-08,1548,2027001
Hyderabad,25.396,68.3578,covid19,20,2015-01-08,873,1734309
Sargodha,32.0836,72.6711,covid19,18,2015-01-08,297,659862
Bahawalpur,29.4,71.6833,covid19,17,2015-01-08,338,762111
Sukkur,27.7032,68.8589,covid19,20,2015-01-08,266,499900
Larkana,27.559,68.212,covid19,19,2015-01-08,237,490508
Sheikhupura,31.7167,73.9833,covid19,20,2015-01-08,246,473129
Jhang,31.28,72.3317,covid19,16,2015-01-08,167,414131
Rahim Yar Khan,28.4212,70.2989,covid19,15,2015-01-08,167,420419
Gujrat,32.5739,74.0776,covid19,22,2015-01-08,281,390533
Kasur,31.1167,74.45,covid19,18,2015-01-08,163,358409
Karachi,24.8607,67.0011,dengue,3,2015-01-15,237,14916456
Lahore,31.5204,74.3587,dengue,2,2015-01-15,147,11126285
Islamabad,33.6844,73.0479,dengue,1,2015-01-15,19,2000000
Faisalabad,31.4504,73.135,dengue,2,2015-01-15,36,3203846
Rawalpindi,33.5651,73.0169,dengue,2,2015-01-15,24,2098231
Multan,30.1575,71.5249,dengue,2,2015-01-15,25,1871843
Peshawar,34.0151,71.5249,dengue,3,2015-01-15,30,1970042
Quetta,30.1798,66.975,dengue,1,2015-01-15,9,1001205
Sialkot,32.4945,74.5229,dengue,2,2015-01-15,7,655852
Gujranwala,32.1617,74.1883,dengue,2,2015-01-15,21,2027001
Hyderabad,25.396,68.3578,dengue,3,2015-01-15,27,1734309
Sargodha,32.0836,72.6711,dengue,2,2015-01-15,8,659862
Bahawalpur,29.4,71.6833,dengue,1,2015-01-15,7,762111
Sukkur,27.7032,68.8589,dengue,2,2015-01-15,7,499900
Larkana,27.559,68.212,dengue,1,2015-01-15,4,490508
Sheikhupura,31.7167,73.9833,dengue,2,2015-01-15,5,473129
Jhang,31.28,72.3317,dengue,1,2015-01-15,4,414131
Rahim Yar Khan,28.4212,70.2989,dengue,2,2015-01-15,5,420419
Gujrat,32.5739,74.0776,dengue,2,2015-01-15,5,390533
Kasur,31.1167,74.45,dengue,2,2015-01-15,4,358409
Karachi,24.8607,67.0011,malaria,7,2015-01-15,1188,14916456
Lahore,31.5204,74.3587,malaria,6,2015-01-15,682,11126285
Islamabad,33.6844,73.0479,malaria,6,2015-01-15,129,2000000
Faisalabad,31.4504,73.135,malaria,7,2015-01-15,236,3203846
Rawalpindi,33.5651,73.0169,malaria,5,2015-01-15,124,2098231
Multan,30.1575,71.5249,malaria,5,2015-01-15,100,1871843
Peshawar,34.0151,71.5249,malaria,7,2015-01-15,143,1970042
Quetta,30.1798,66.975,malaria,5,2015-01-15,57,1001205
Sialkot,32.4945,74.5229,malaria,4,2015-01-15,30,655852
Gujranwala,32.1617,74.1883,malaria,8,2015-01-15,172,2027001
Hyderabad,25.396,68.3578,malaria,8,2015-01-15,148,1734309
Sargodha,32.0836,72.6711,malaria,4,2015-01-15,28,659862
Bahawalpur,29.4,71.6833,malaria,7,2015-01-15,58,762111
Sukkur,27.7032,68.8589,malaria,6,2015-01-15,31,499900
Larkana,27.559,68.212,malaria,7,2015-01-15,38,490508
Sheikhupura,31.7167,73.9833,malaria,6,2015-01-15,29,473129
Jhang,31.28,72.3317,malaria,5,2015-01-15,21,414131
Rahim Yar Khan,28.4212,70.2989,malaria,7,2015-01-15,32,420419
Gujrat,32.5739,74.0776,malaria,6,2015-01-15,26,390533
Kasur,31.1167,74.45,malaria,4,2015-01-15,16,358409
Karachi,24.8607,67.0011,cholera,0,2015-01-15,9,14916456
Lahore,31.5204,74.3587,cholera,0,2015-01-15,5,11126285
Islamabad,33.6844,73.0479,cholera,0,2015-01-15,0,2000000
Faisalabad,31.4504,73.135,cholera,0,2015-01-15,1,3203846
Rawalpindi,33.5651,73.0169,cholera,0,2015-01-15,0,2098231
Multan,30.1575,71.5249,cholera,0,2015-01-15,0,1871843
Peshawar,34.0151,71.5249,cholera,0,2015-01-15,1,1970042
Quetta,30.1798,66.975,cholera,0,2015-01-15,0,1001205
Sialkot,32.4945,74.5229,cholera,0,2015-01-15,0,655852
Gujranwala,32.1617,74.1883,cholera,0,2015-01-15,1,2027001
Hyderabad,25.396,68.3578,cholera,0,2015-01-15,0,1734309
Sargodha,32.0836,72.6711,cholera,0,2015-01-15,0,659862
Bahawalpur,29.4,71.6833,cholera,0,2015-01-15,0,762111
Sukkur,27.7032,68.8589,cholera,0,2015-01-15,0,499900
Larkana,27.559,68.212,cholera,0,2015-01-15,0,490508
Sheikhupura,31.7167,73.9833,cholera,0,2015-01-15,0,473129
Jhang,31.28,72.3317,cholera,0,2015-01-15,0,414131
Rahim Yar Khan,28.4212,70.2989,cholera,0,2015-01-15,0,420419
Gujrat,32.5739,74.0776,cholera,0,2015-01-15,0,390533
Kasur,31.1167,74.45,cholera,0,2015-01-15,0,358409
Karachi,24.8607,67.0011,influenza,1,2015-01-15,1114,14916456
Lahore,31.5204,74.3587,influenza,0,2015-01-15,539,11126285
Islamabad,33.6844,73.0479,influenza,0,2015-01-15,76,2000000
Faisalabad,31.4504,73.135,influenza,1,2015-01-15,202,3203846
Rawalpindi,33.5651,73.0169,influenza,0,2015-01-15,99,2098231
Multan,30.1575,71.5249,influenza,0,2015-01-15,73,1871843
Peshawar,34.0151,71.5249,influenza,1,2015-01-15,129,1970042
Quetta,30.1798,66.975,influenza,1,2015-01-15,51,1001205
Sialkot,32.4945,74.5229,influenza,0,2015-01-15,27,655852
Gujranwala,32.1617,74.1883,influenza,0,2015-01-15,98,2027001
Hyderabad,25.396,68.3578,influenza,1,2015-01-15,93,1734309
Sargodha,32.0836,72.6711,influenza,0,2015-01-15,23,659862
Bahawalpur,29.4,71.6833,influenza,1,2015-01-15,41,762111
Sukkur,27.7032,68.8589,influenza,1,2015-01-15,25,499900
Larkana,27.559,68.212,influenza,0,2015-01-15,24,490508
Sheikhupura,31.7167,73.9833,influenza,0,2015-01-15,23,473129
Jhang,31.28,72.3317,influenza,0,2015-01-15,14,414131
Rahim Yar Khan,28.4212,70.2989,influenza,0,2015-01-15,14,420419
Gujrat,32.5739,74.0776,influenza,0,2015-01-15,16,390533
Kasur,31.1167,74.45,influenza,1,2015-01-15,18,358409
Karachi,24.8607,67.0011,covid19,24,2015-01-15,12646,14916456
Lahore,31.5204,74.3587,covid19,21,2015-01-15,6593,11126285
Islamabad,33.6844,73.0479,covid19,14,2015-01-15,749,2000000
Faisalabad,31.4504,73.135,covid19,20,2015-01-15,1772,3203846
Rawalpindi,33.5651,73.0169,covid19,22,2015-01-15,1403,2098231
Multan,30.1575,71.5249,covid19,21,2015-01-15,1125,1871843
Peshawar,34.0151,71.5249,covid19,20,2015-01-15,1125,1970042
Quetta,30.1798,66.975,covid19,22,2015-01-15,693,1001205
Sialkot,32.4945,74.5229,covid19,17,2015-01-15,291,655852
Gujranwala,32.1617,74.1883,covid19,22,2015-01-15,1348,2027001
Hyderabad,25.396,68.3578,covid19,23,2015-01-15,1327,1734309
Sargodha,32.0836,72.6711,covid19,20,2015-01-15,370,659862
Bahawalpur,29.4,71.6833,covid19,20,2015-01-15,428,762111
Sukkur,27.7032,68.8589,covid19,20,2015-01-15,258,499900
Larkana,27.559,68.212,covid19,23,2015-01-15,366,490508
Sheikhupura,31.7167,73.9833,covid19,21,2015-01-15,273,473129
Jhang,31.28,72.3317,covid19,20,2015-01-15,235,414131
Rahim Yar Khan,28.4212,70.2989,covid19,20,2015-01-15,224,420419
Gujrat,32.5739,74.0776,covid19,20,2015-01-15,207,390533
Kasur,31.1167,74.45,covid19,22,2015-01-15,252,358409
Karachi,24.8607,67.0011,dengue,2,2015-01-22,207,14916456
Lahore,31.5204,74.3587,dengue,2,2015-01-22,131,11126285
Islamabad,33.6844,73.0479,dengue,1,2015-01-22,19,2000000
Faisalabad,31.4504,73.135,dengue,1,2015-01-22,30,3203846
Rawalpindi,33.5651,73.0169,dengue,2,2015-01-22,24,2098231
Multan,30.1575,71.5249,dengue,2,2015-01-22,21,1871843
Peshawar,34.0151,71.5249,dengue,3,2015-01-22,33,1970042
Quetta,30.1798,66.975,dengue,2,2015-01-22,12,1001205
Sialkot,32.4945,74.5229,dengue,2,2015-01-22,7,655852
Gujranwala,32.1617,74.1883,dengue,2,2015-01-22,29,2027001
Hyderabad,25.396,68.3578,dengue,2,2015-01-22,19,1734309
Sargodha,32.0836,72.6711,dengue,1,2015-01-22,6,659862
Bahawalpur,29.4,71.6833,dengue,2,2015-01-22,9,762111
Sukkur,27.7032,68.8589,dengue,2,2015-01-22,6,499900
Larkana,27.559,68.212,dengue,2,2015-01-22,5,490508
Sheikhupura,31.7167,73.9833,dengue,1,2015-01-22,3,473129
Jhang,31.28,72.3317,dengue,1,2015-01-22,4,414131
Rahim Yar Khan,28.4212,70.2989,dengue,1,2015-01-22,4,420419
Gujrat,32.5739,74.0776,dengue,2,2015-01-22,4,390533
Kasur,31.1167,74.45,dengue,2,2015-01-22,4,358409
Karachi,24.8607,67.0011,malaria,7,2015-01-22,1063,14916456
Lahore,31.5204,74.3587,malaria,5,2015-01-22,635,11126285
Islamabad,33.6844,73.0479,malaria,6,2015-01-22,135,2000000
Faisalabad,31.4504,73.135,malaria,4,2015-01-22,155,3203846
Rawalpindi,33.5651,73.0169,malaria,6,2015-01-22,127,2098231
Multan,30.1575,71.5249,malaria,6,2015-01-22,127,1871843
Peshawar,34.0151,71.5249,malaria,5,2015-01-22,102,1970042
Quetta,30.1798,66.975,malaria,7,2015-01-22,73,1001205
Sialkot,32.4945,74.5229,malaria,7,2015-01-22,48,655852
Gujranwala,32.1617,74.1883,malaria,8,2015-01-22,175,2027001
Hyderabad,25.396,68.3578,malaria,6,2015-01-22,121,1734309
Sargodha,32.0836,72.6711,malaria,5,2015-01-22,36,659862
Bahawalpur,29.4,71.6833,malaria,6,2015-01-22,52,762111
Sukkur,27.7032,68.8589,malaria,8,2015-01-22,40,499900
Larkana,27.559,68.212,malaria,7,2015-01-22,36,490508
Sheikhupura,31.7167,73.9833,malaria,5,2015-01-22,28,473129
Jhang,31.28,72.3317,malaria,7,2015-01-22,29,414131
Rahim Yar Khan,28.4212,70.2989,malaria,6,2015-01-22,26,420419
Gujrat,32.5739,74.0776,malaria,6,2015-01-22,24,390533
Kasur,31.1167,74.45,malaria,7,2015-01-22,27,358409
Karachi,24.8607,67.0011,cholera,0,2015-01-22,11,14916456
Lahore,31.5204,74.3587,cholera,0,2015-01-22,5,11126285
Islamabad,33.6844,73.0479,cholera,0,2015-01-22,0,2000000
Faisalabad,31.4504,73.135,cholera,0,2015-01-22,2,3203846
Rawalpindi,33.5651,73.0169,cholera,0,2015-01-22,1,2098231
Multan,30.1575,71.5249,cholera,0,2015-01-22,0,1871843
Peshawar,34.0151,71.5249,cholera,0,2015-01-22,1,1970042
Quetta,30.1798,66.975,cholera,0,2015-01-22,0,1001205
Sialkot,32.4945,74.5229,cholera,0,2015-01-22,0,655852
Gujranwala,32.1617,74.1883,cholera,0,2015-01-22,0,2027001
Hyderabad,25.396,68.3578,cholera,0,2015-01-22,1,1734309
Sargodha,32.0836,72.6711,cholera,0,2015-01-22,0,659862
Bahawalpur,29.4,71.6833,cholera,0,2015-01-22,0,762111
Sukkur,27.7032,68.8589,cholera,0,2015-01-22,0,499900
Larkana,27.559,68.212,cholera,0,2015-01-22,0,490508
Sheikhupura,31.7167,73.9833,cholera,0,2015-01-22,0,473129
Jhang,31.28,72.3317,cholera,0,2015-01-22,0,414131
Rahim Yar Khan,28.4212,70.2989,cholera,0,2015-01-22,0,420419
Gujrat,32.5739,74.0776,cholera,0,2015-01-22,0,390533
Kasur,31.1167,74.45,cholera,0,2015-01-22,0,358409
Karachi,24.8607,67.0011,influenza,1,2015-01-22,999,14916456
Lahore,31.5204,74.3587,influenza,0,2015-01-22,531,11126285
Islamabad,33.6844,73.0479,influenza,0,2015-01-22,93,2000000
Faisalabad,31.4504,73.135,influenza,0,2015-01-22,137,3203846
Rawalpindi,33.5651,73.0169,influenza,1,2015-01-22,121,2098231
Multan,30.1575,71.5249,influenza,1,2015-01-22,97,1871843
Peshawar,34.0151,71.5249,influenza,1,2015-01-22,146,1970042
Quetta,30.1798,66.975,influenza,1,2015-01-22,59,1001205
Sialkot,32.4945,74.5229,influenza,1,2015-01-22,34,655852
Gujranwala,32.1617,74.1883,influenza,0,2015-01-22,83,2027001
Hyderabad,25.396,68.3578,influenza,1,2015-01-22,125,1734309
Sargodha,32.0836,72.6711,influenza,1,2015-01-22,38,659862
Bahawalpur,29.4,71.6833,influenza,1,2015-01-22,46,762111
Sukkur,27.7032,68.8589,influenza,0,2015-01-22,24,499900
Larkana,27.559,68.212,influenza,1,2015-01-22,31,490508
Sheikhupura,31.7167,73.9833,influenza,0,2015-01-22,17,473129
Jhang,31.28,72.3317,influenza,0,2015-01-22,16,414131
Rahim Yar Khan,28.4212,70.2989,influenza,0,2015-01-22,20,420419
Gujrat,32.5739,74.0776,influenza,0,2015-01-22,18,390533
Kasur,31.1167,74.45,influenza,1,2015-01-22,20,358409
Karachi,24.8607,67.0011,covid19,22,2015-01-22,10664,14916456
Lahore,31.5204,74.3587,covid19,25,2015-01-22,9838,11126285
Islamabad,33.6844,73.0479,covid19,15,2015-01-22,765,2000000
Faisalabad,31.4504,73.135,covid19,21,2015-01-22,1871,3203846
Rawalpindi,33.5651,73.0169,covid19,22,2015-01-22,1464,2098231
Multan,30.1575,71.5249,covid19,21,2015-01-22,1175,1871843
Peshawar,34.0151,71.5249,covid19,24,2015-01-22,1626,1970042
Quetta,30.1798,66.975,covid19,22,2015-01-22,685,1001205
Sialkot,32.4945,74.5229,covid19,21,2015-01-22,418,655852
Gujranwala,32.1617,74.1883,covid19,22,2015-01-22,1420,2027001
Hyderabad,25.396,68.3578,covid19,22,2015-01-22,1167,1734309
Sargodha,32.0836,72.6711,covid19,22,2015-01-22,470,659862
Bahawalpur,29.4,71.6833,covid19,21,2015-01-22,475,762111
Sukkur,27.7032,68.8589,covid19,21,2015-01-22,294,499900
Larkana,27.559,68.212,covid19,23,2015-01-22,359,490508
Sheikhupura,31.7167,73.9833,covid19,21,2015-01-22,298,473129
Jhang,31.28,72.3317,covid19,17,2015-01-22,184,414131
Rahim Yar Khan,28.4212,70.2989,covid19,20,2015-01-22,220,420419
Gujrat,32.5739,74.0776,covid19,18,2015-01-22,179,390533
Kasur,31.1167,74.45,covid19,21,2015-01-22,227,358409
Karachi,24.8607,67.0011,dengue,2,2015-01-29,223,14916456
Lahore,31.5204,74.3587,dengue,2,2015-01-29,113,11126285
Islamabad,33.6844,73.0479,dengue,2,2015-01-29,22,2000000
Faisalabad,31.4504,73.135,dengue,1,2015-01-29,31,3203846
