week_start,district,disease,cases,temperature,humidity,rainfall,population_density,sanitation_index,cases_last_4weeks,cases_last_8weeks,CERS
2022-03-13,Abbottabad,COVID-19,13,25.1,45.3,13.9,709,0.45,58.0,88.0,45.67857142857142
2022-10-09,Abbottabad,COVID-19,14,24.1,40.5,12.7,912,0.37,65.0,97.0,54.016666666666666
2022-10-30,Abbottabad,COVID-19,8,28.0,84.7,14.6,897,0.6,54.0,92.0,46.43809523809524
2022-12-04,Abbottabad,COVID-19,14,24.5,53.8,4.5,233,0.65,49.0,99.0,21.683333333333334
2022-12-11,Abbottabad,COVID-19,17,24.7,65.3,4.9,872,0.53,53.0,111.0,47.29761904761905
2023-03-19,Abbottabad,COVID-19,2,28.7,69.0,12.0,343,0.71,41.0,106.0,21.042857142857144
2023-04-02,Abbottabad,COVID-19,10,27.8,47.0,18.0,844,0.6,43.0,97.0,47.51428571428572
2024-02-18,Abbottabad,COVID-19,23,31.2,84.4,15.4,983,0.82,52.0,101.0,53.87619047619048
2024-05-19,Abbottabad,COVID-19,6,28.3,47.0,1.8,413,0.47,41.0,94.0,25.361904761904764
2025-04-06,Abbottabad,COVID-19,10,31.3,41.4,12.0,727,0.83,49.0,90.0,36.01428571428571
2025-10-12,Abbottabad,COVID-19,3,33.1,80.0,1.1,866,0.53,42.0,85.0,37.19761904761905
2015-02-22,Abbottabad,Cholera,11,32.1,60.4,1.1,351,0.36,11.0,11.0,28.00238095238095
2015-06-07,Abbottabad,Cholera,29,28.9,60.8,6.6,637,0.72,40.0,40.0,43.371428571428574
2015-09-27,Abbottabad,Cholera,14,24.3,70.6,19.0,938,0.57,54.0,54.0,54.03333333333333
2015-10-04,Abbottabad,Cholera,8,36.5,61.0,18.0,648,0.84,62.0,62.0,35.03809523809524
2016-04-10,Abbottabad,Cholera,11,27.1,45.4,12.6,800,0.74,62.0,73.0,41.11904761904762
2016-06-19,Abbottabad,Cholera,11,26.7,87.3,4.5,289,0.7,44.0,84.0,20.83571428571429
2016-07-17,Abbottabad,Cholera,34,30.4,74.4,13.9,595,0.95,64.0,118.0,43.87857142857143
2016-10-23,Abbottabad,Cholera,13,30.8,74.9,14.7,788,0.89,69.0,131.0,39.911904761904765
2016-11-13,Abbottabad,Cholera,9,27.6,71.1,5.6,767,0.7,67.0,129.0,36.17619047619047
2017-04-23,Abbottabad,Cholera,16,26.3,78.3,5.2,193,0.81,72.0,116.0,18.642857142857142
2017-07-02,Abbottabad,Cholera,18,32.8,71.6,16.7,186,0.72,56.0,120.0,27.102380952380955
2018-04-29,Abbottabad,Cholera,9,20.3,76.6,17.0,484,0.42,52.0,121.0,38.04285714285715
2018-05-20,Abbottabad,Cholera,18,24.7,40.9,15.2,624,0.48,61.0,128.0,45.75238095238095
2018-12-30,Abbottabad,Cholera,14,25.3,64.8,15.2,228,0.83,59.0,131.0,23.26666666666667
2019-03-10,Abbottabad,Cholera,8,31.2,74.0,5.9,759,0.93,49.0,105.0,30.888095238095243
2019-04-28,Abbottabad,Cholera,11,31.2,50.8,17.2,206,0.81,51.0,103.0,22.219047619047622
2019-06-30,Abbottabad,Cholera,14,34.0,58.9,10.8,797,0.59,47.0,108.0,44.833333333333336
2019-09-01,Abbottabad,Cholera,17,28.6,50.9,13.1,500,0.56,50.0,109.0,38.397619047619045
2020-04-12,Abbottabad,Cholera,20,27.8,53.5,0.2,793,0.6,62.0,111.0,42.628571428571426
2020-05-24,Abbottabad,Cholera,4,30.6,42.7,17.7,818,0.65,55.0,106.0,42.06904761904762
2020-10-25,Abbottabad,Cholera,3,34.7,69.0,5.7,579,0.55,44.0,91.0,29.530952380952385
2020-11-01,Abbottabad,Cholera,10,29.3,60.0,5.2,151,0.83,37.0,87.0,13.414285714285715
2021-08-15,Abbottabad,Cholera,33,34.9,75.1,16.5,761,0.4,50.0,112.0,61.14047619047619
2021-12-12,Abbottabad,Cholera,18,32.8,41.3,1.2,977,0.31,64.0,119.0,53.919047619047625
2022-01-23,Abbottabad,Cholera,1,31.5,77.1,14.6,306,0.31,62.0,106.0,28.538095238095234
2022-02-06,Abbottabad,Cholera,8,31.4,68.2,5.2,666,0.47,60.0,97.0,36.63809523809524
2022-05-08,Abbottabad,Cholera,0,40.3,80.0,17.5,813,0.46,27.0,77.0,43.31666666666667
2022-11-06,Abbottabad,Cholera,16,23.8,48.4,16.8,103,0.5,25.0,89.0,27.642857142857146
2023-02-12,Abbottabad,Cholera,9,22.4,84.5,4.7,448,0.81,33.0,95.0,22.89285714285714
2023-07-30,Abbottabad,Cholera,24,36.5,68.8,19.7,831,0.9,49.0,109.0,49.930952380952384
2023-10-08,Abbottabad,Cholera,13,28.7,79.0,14.9,962,0.81,62.0,89.0,47.41190476190476
2024-05-19,Abbottabad,Cholera,11,31.5,44.7,11.7,247,0.71,57.0,82.0,22.835714285714285
2024-06-09,Abbottabad,Cholera,35,31.6,41.4,0.6,286,0.81,83.0,116.0,30.3
2024-07-21,Abbottabad,Cholera,18,22.6,63.2,12.3,294,0.46,77.0,126.0,33.70238095238095
2024-12-22,Abbottabad,Cholera,9,38.7,87.9,7.2,755,0.66,73.0,135.0,37.37619047619047
2025-02-02,Abbottabad,Cholera,10,30.2,71.3,6.9,275,0.9,72.0,129.0,16.997619047619047
2025-04-20,Abbottabad,Cholera,12,24.7,72.2,6.9,886,0.57,49.0,132.0,45.107142857142854
2025-08-17,Abbottabad,Cholera,29,24.5,44.5,17.0,411,0.53,60.0,137.0,44.838095238095235
2025-09-21,Abbottabad,Cholera,19,37.9,45.4,12.5,300,0.74,70.0,143.0,28.973809523809525
2025-12-14,Abbottabad,Cholera,12,18.6,67.2,3.4,330,0.96,72.0,144.0,17.023809523809522
2015-04-12,Abbottabad,Dengue,8,27.1,66.5,9.6,229,0.39,8.0,8.0,25.871428571428574
2015-07-05,Abbottabad,Dengue,61,23.7,53.7,14.6,279,0.68,69.0,69.0,54.52380952380952
2015-08-02,Abbottabad,Dengue,48,37.9,51.6,14.8,189,0.94,117.0,117.0,38.9952380952381
2015-08-23,Abbottabad,Dengue,25,14.2,85.4,0.2,884,0.79,142.0,142.0,44.71904761904762
2016-02-21,Abbottabad,Dengue,7,31.8,84.2,15.7,528,0.57,141.0,149.0,34.716666666666676
2016-03-20,Abbottabad,Dengue,16,33.2,73.1,19.3,356,0.93,96.0,165.0,28.726190476190478
2016-06-12,Abbottabad,Dengue,16,37.3,56.4,8.9,626,0.59,64.0,181.0,39.326190476190476
2017-05-28,Abbottabad,Dengue,7,38.5,48.6,12.3,199,0.72,46.0,188.0,19.05
2017-10-08,Abbottabad,Dengue,13,42.4,86.4,5.5,934,0.37,52.0,193.0,50.57857142857143
2017-11-12,Abbottabad,Dengue,19,36.9,57.6,13.6,186,0.83,55.0,151.0,23.923809523809524
2018-01-28,Abbottabad,Dengue,2,26.7,66.6,8.0,965,0.43,41.0,105.0,45.37619047619048
2018-09-30,Abbottabad,Dengue,39,34.8,78.6,18.5,646,0.75,73.0,119.0,54.73571428571429
2018-11-11,Abbottabad,Dengue,3,31.5,58.1,8.9,497,0.87,63.0,115.0,21.99761904761905
2018-12-16,Abbottabad,Dengue,2,37.7,60.8,15.9,792,0.73,46.0,101.0,37.55952380952381
2019-08-25,Abbottabad,Dengue,52,37.4,56.7,8.6,492,0.9,96.0,137.0,49.08095238095238
2020-08-16,Abbottabad,Dengue,48,27.6,85.1,12.2,490,0.95,105.0,178.0,47.52857142857143
2020-08-23,Abbottabad,Dengue,36,27.8,77.3,11.7,578,0.42,138.0,201.0,53.9547619047619
2020-09-27,Abbottabad,Dengue,20,30.6,46.6,6.5,541,0.38,156.0,202.0,41.77857142857143
2021-02-07,Abbottabad,Dengue,20,23.7,73.2,12.5,736,0.94,124.0,220.0,40.07857142857143
2021-02-14,Abbottabad,Dengue,9,38.7,85.0,1.2,385,0.42,85.0,190.0,26.842857142857145
2021-02-21,Abbottabad,Dengue,16,32.6,63.3,14.7,680,0.99,65.0,203.0,36.02619047619048
2021-08-22,Abbottabad,Dengue,18,36.7,87.2,1.6,134,0.93,63.0,219.0,13.61904761904762
2022-02-20,Abbottabad,Dengue,13,28.4,55.4,11.5,600,0.35,56.0,180.0,42.845238095238095
2022-06-12,Abbottabad,Dengue,1,32.4,66.2,12.1,465,0.4,48.0,133.0,30.788095238095238
2022-08-14,Abbottabad,Dengue,39,34.0,45.3,4.3,145,0.58,71.0,136.0,34.33571428571429
2022-11-13,Abbottabad,Dengue,6,32.5,44.7,10.6,606,0.78,59.0,122.0,29.99523809523809
2022-12-04,Abbottabad,Dengue,13,35.9,45.5,17.7,572,0.85,59.0,115.0,35.011904761904766
2023-08-13,Abbottabad,Dengue,44,31.0,54.9,10.0,463,0.71,102.0,150.0,48.042857142857144
2023-09-03,Abbottabad,Dengue,30,25.3,72.6,16.0,800,0.54,93.0,164.0,57.676190476190484
2024-02-04,Abbottabad,Dengue,11,31.8,54.3,0.8,212,0.52,98.0,157.0,20.01904761904762
2024-07-28,Abbottabad,Dengue,50,26.4,40.4,13.3,718,0.8,135.0,194.0,59.821428571428584
2024-08-25,Abbottabad,Dengue,50,29.6,71.9,14.3,523,0.64,141.0,243.0,57.02142857142858
2024-10-06,Abbottabad,Dengue,9,25.2,59.4,1.1,874,0.42,120.0,213.0,43.09285714285715
2025-01-05,Abbottabad,Dengue,5,41.1,52.2,8.1,863,0.94,114.0,212.0,33.540476190476184
2025-03-16,Abbottabad,Dengue,15,27.6,85.5,9.1,241,0.66,79.0,214.0,24.621428571428574
2025-08-17,Abbottabad,Dengue,26,30.1,72.7,17.2,116,0.74,55.0,196.0,29.190476190476193
2025-11-09,Abbottabad,Dengue,9,29.1,52.1,6.9,567,0.8,55.0,175.0,28.15952380952381
2025-11-23,Abbottabad,Dengue,9,28.7,42.0,10.6,690,0.51,59.0,173.0,39.90952380952381
2025-12-07,Abbottabad,Dengue,5,32.7,54.5,0.9,547,0.85,49.0,128.0,21.20714285714286
2015-03-22,Abbottabad,Diarrhea,10,28.5,89.7,10.7,157,0.44,10.0,10.0,24.164285714285715
2015-07-05,Abbottabad,Diarrhea,27,24.5,55.6,11.5,347,0.95,37.0,37.0,30.41190476190476
2015-08-09,Abbottabad,Diarrhea,44,26.2,42.8,7.5,143,0.39,81.0,81.0,42.52619047619047
2016-01-03,Abbottabad,Diarrhea,18,21.8,44.8,4.7,957,0.67,99.0,99.0,47.80238095238095
2016-05-15,Abbottabad,Diarrhea,6,42.1,53.6,1.9,995,1.0,95.0,105.0,34.21190476190476
2016-09-18,Abbottabad,Diarrhea,9,40.7,44.5,11.2,380,0.39,77.0,114.0,32.27619047619047
2016-12-25,Abbottabad,Diarrhea,18,24.3,60.4,12.9,222,0.32,51.0,132.0,34.40238095238095
2017-06-04,Abbottabad,Diarrhea,36,30.8,83.2,14.3,201,0.45,69.0,168.0,42.088095238095235
2017-09-03,Abbottabad,Diarrhea,17,21.8,89.1,5.8,846,0.98,80.0,175.0,37.88095238095238
2017-11-12,Abbottabad,Diarrhea,7,26.2,71.6,12.1,731,0.35,78.0,155.0,44.083333333333336
2017-12-17,Abbottabad,Diarrhea,20,29.5,79.7,11.7,110,0.88,80.0,131.0,20.011904761904763
2018-05-13,Abbottabad,Diarrhea,17,36.9,50.3,2.6,983,0.47,61.0,130.0,51.04761904761905
2018-07-15,Abbottabad,Diarrhea,16,19.1,44.6,16.5,391,0.62,60.0,140.0,34.69285714285715
2018-08-19,Abbottabad,Diarrhea,28,28.7,70.6,6.7,564,0.83,81.0,159.0,38.21666666666667
2018-09-09,Abbottabad,Diarrhea,5,30.5,81.1,4.2,336,0.69,66.0,146.0,19.023809523809526
2018-11-18,Abbottabad,Diarrhea,10,25.0,80.1,16.7,751,0.36,59.0,120.0,48.56428571428572
2018-12-30,Abbottabad,Diarrhea,14,28.5,87.8,2.1,481,0.88,57.0,117.0,24.150000000000002
2019-01-13,Abbottabad,Diarrhea,4,23.2,85.3,4.9,673,1.0,33.0,114.0,23.835714285714285
2019-04-28,Abbottabad,Diarrhea,0,29.2,50.3,4.7,808,0.92,28.0,94.0,27.55
2019-05-19,Abbottabad,Diarrhea,1,31.0,87.1,17.8,586,0.54,19.0,78.0,34.871428571428574
2019-08-25,Abbottabad,Diarrhea,25,30.1,41.4,11.7,797,0.99,30.0,87.0,43.569047619047616
2019-09-01,Abbottabad,Diarrhea,4,29.0,50.8,15.4,316,0.46,30.0,63.0,27.985714285714288
2020-02-09,Abbottabad,Diarrhea,17,24.5,50.2,19.3,773,0.64,47.0,75.0,48.997619047619054
2020-02-23,Abbottabad,Diarrhea,14,33.7,55.6,19.9,239,0.77,60.0,79.0,27.18333333333333
2020-08-09,Abbottabad,Diarrhea,28,33.0,50.2,10.1,641,0.79,63.0,93.0,43.28333333333333
2020-12-27,Abbottabad,Diarrhea,16,27.2,46.7,11.5,647,0.64,75.0,105.0,40.326190476190476
2021-01-31,Abbottabad,Diarrhea,19,28.4,61.4,3.9,905,0.56,77.0,124.0,48.44047619047618
2021-04-25,Abbottabad,Diarrhea,19,33.5,81.2,19.7,844,0.33,82.0,142.0,58.90714285714286
2021-08-08,Abbottabad,Diarrhea,13,36.2,67.0,1.1,187,0.88,67.0,130.0,13.278571428571428
2021-08-29,Abbottabad,Diarrhea,34,29.5,70.5,9.8,570,0.87,85.0,160.0,42.595238095238095
2022-02-13,Abbottabad,Diarrhea,19,34.1,74.1,17.9,666,0.34,85.0,162.0,51.87380952380952
2022-03-27,Abbottabad,Diarrhea,17,31.4,45.1,8.5,982,0.62,83.0,165.0,50.964285714285715
2022-07-17,Abbottabad,Diarrhea,42,38.9,78.9,7.1,922,0.41,112.0,179.0,66.75
2022-08-07,Abbottabad,Diarrhea,26,23.1,81.9,16.6,326,0.59,104.0,189.0,38.89047619047619
2022-12-04,Abbottabad,Diarrhea,15,25.8,74.8,19.3,570,0.8,100.0,185.0,37.88809523809525
2023-04-09,Abbottabad,Diarrhea,18,24.7,85.5,1.2,628,0.31,101.0,184.0,42.285714285714285
2023-09-03,Abbottabad,Diarrhea,15,27.4,84.2,2.9,268,0.66,74.0,186.0,22.42142857142857
2024-01-07,Abbottabad,Diarrhea,11,27.0,43.5,6.5,251,0.93,59.0,163.0,15.969047619047618
2024-07-07,Abbottabad,Diarrhea,28,30.4,42.0,16.6,394,0.84,72.0,172.0,37.300000000000004
2024-07-14,Abbottabad,Diarrhea,24,29.8,69.8,0.1,816,0.71,78.0,179.0,43.430952380952384
2024-07-28,Abbottabad,Diarrhea,39,21.2,62.8,6.7,309,0.45,102.0,176.0,43.60238095238095
2024-09-15,Abbottabad,Diarrhea,6,33.5,49.5,9.4,486,0.6,97.0,156.0,28.995238095238097
2024-10-27,Abbottabad,Diarrhea,17,40.1,60.3,2.9,635,0.85,86.0,158.0,31.997619047619047
2024-12-01,Abbottabad,Diarrhea,9,36.0,84.6,2.3,423,0.31,71.0,149.0,30.859523809523807
2025-07-27,Abbottabad,Diarrhea,29,35.8,58.8,2.1,227,0.45,61.0,163.0,32.85476190476191
2025-08-24,Abbottabad,Diarrhea,33,30.9,41.8,9.1,684,0.59,88.0,185.0,51.07380952380953
2025-09-14,Abbottabad,Diarrhea,9,26.4,89.5,16.9,133,0.4,80.0,166.0,26.692857142857147
2015-08-02,Abbottabad,Food Poisoning,11,33.0,43.7,15.1,666,0.66,11.0,11.0,39.50238095238095
2015-10-25,Abbottabad,Food Poisoning,11,23.9,78.5,6.6,425,0.98,22.0,22.0,20.819047619047616
2016-02-07,Abbottabad,Food Poisoning,15,34.6,68.9,14.0,732,0.41,37.0,37.0,48.438095238095244
2016-07-31,Abbottabad,Food Poisoning,3,28.9,68.1,16.2,886,0.74,40.0,40.0,41.21428571428571
2016-12-25,Abbottabad,Food Poisoning,12,38.4,42.2,0.3,177,0.87,41.0,52.0,12.173809523809522
2017-02-12,Abbottabad,Food Poisoning,16,29.6,69.1,10.3,388,0.4,46.0,68.0,35.892857142857146
2017-02-19,Abbottabad,Food Poisoning,19,26.1,64.0,3.7,310,0.37,50.0,87.0,32.30714285714286
2017-09-03,Abbottabad,Food Poisoning,2,24.3,59.8,13.8,292,0.67,49.0,89.0,21.04285714285714
2018-03-04,Abbottabad,Food Poisoning,17,33.3,85.7,12.5,804,0.89,54.0,95.0,41.63095238095238
2018-06-03,Abbottabad,Food Poisoning,18,36.4,72.2,6.8,509,0.41,56.0,102.0,39.11904761904761
2018-12-02,Abbottabad,Food Poisoning,13,32.8,55.8,10.0,663,0.46,50.0,100.0,41.99523809523809
2018-12-23,Abbottabad,Food Poisoning,17,26.1,76.1,10.4,405,0.82,65.0,114.0,28.680952380952384
2019-04-07,Abbottabad,Food Poisoning,20,30.8,67.7,17.1,737,0.99,68.0,122.0,41.41190476190476
2019-06-16,Abbottabad,Food Poisoning,15,33.0,60.2,8.0,925,0.8,65.0,121.0,44.07142857142856
2019-11-17,Abbottabad,Food Poisoning,13,26.9,70.7,13.0,976,0.47,65.0,115.0,53.728571428571435
2020-02-16,Abbottabad,Food Poisoning,3,26.9,59.8,11.6,487,0.77,51.0,116.0,25.014285714285716
2020-03-01,Abbottabad,Food Poisoning,0,26.6,53.8,16.4,790,0.76,31.0,99.0,36.00000000000001
2020-05-31,Abbottabad,Food Poisoning,7,33.4,71.5,17.3,897,0.46,23.0,88.0,50.016666666666666
2021-02-14,Abbottabad,Food Poisoning,17,31.3,85.1,13.4,530,0.96,27.0,92.0,31.547619047619047
2021-06-27,Abbottabad,Food Poisoning,7,36.3,44.5,0.8,273,0.53,31.0,82.0,19.566666666666666
2021-08-15,Abbottabad,Food Poisoning,5,29.1,66.4,7.6,385,0.86,36.0,67.0,18.957142857142856
2022-02-27,Abbottabad,Food Poisoning,8,26.5,90.0,14.6,688,0.74,37.0,60.0,36.67142857142857
2022-04-24,Abbottabad,Food Poisoning,16,30.1,61.7,7.2,636,0.46,36.0,63.0,41.409523809523805
2022-10-23,Abbottabad,Food Poisoning,1,28.8,61.1,9.2,795,0.87,30.0,61.0,30.938095238095237
2022-11-20,Abbottabad,Food Poisoning,2,31.4,79.2,4.4,936,0.42,27.0,63.0,42.80952380952382
2023-03-05,Abbottabad,Food Poisoning,2,38.7,85.9,0.8,491,0.38,21.0,58.0,26.976190476190474
2023-04-16,Abbottabad,Food Poisoning,1,40.9,83.6,18.3,781,0.69,6.0,42.0,38.62142857142858
2023-05-28,Abbottabad,Food Poisoning,6,31.8,63.5,10.8,593,0.95,11.0,41.0,26.261904761904763
2023-11-26,Abbottabad,Food Poisoning,18,26.1,46.7,8.1,861,0.45,27.0,54.0,50.702380952380956
2024-02-11,Abbottabad,Food Poisoning,8,27.3,74.7,5.8,702,0.94,33.0,54.0,28.73809523809524
2025-03-02,Abbottabad,Food Poisoning,7,27.1,64.5,14.8,573,0.98,39.0,45.0,27.566666666666666
2025-06-22,Abbottabad,Food Poisoning,5,31.4,40.2,4.9,666,0.57,38.0,49.0,32.77380952380953
2025-07-13,Abbottabad,Food Poisoning,20,37.5,56.6,5.7,110,0.42,40.0,67.0,26.211904761904766
2016-01-31,Abbottabad,Gastroenteritis,7,28.4,74.1,9.9,282,0.96,7.0,7.0,15.816666666666668
2017-02-12,Abbottabad,Gastroenteritis,17,32.6,40.4,7.6,847,0.32,24.0,24.0,52.01428571428571
2017-03-12,Abbottabad,Gastroenteritis,10,40.5,57.1,17.1,978,0.87,34.0,34.0,46.13095238095239
2017-04-02,Abbottabad,Gastroenteritis,14,27.0,71.0,2.7,937,0.7,48.0,48.0,43.25000000000001
2017-04-09,Abbottabad,Gastroenteritis,17,27.5,86.9,19.7,934,0.5,58.0,65.0,57.364285714285714
2017-05-14,Abbottabad,Gastroenteritis,2,24.5,68.9,7.0,103,0.74,43.0,67.0,9.942857142857143
2017-06-11,Abbottabad,Gastroenteritis,12,26.6,52.1,0.4,312,0.61,45.0,79.0,21.923809523809524
2017-06-25,Abbottabad,Gastroenteritis,16,28.5,50.5,1.3,580,0.85,47.0,95.0,28.792857142857148
2017-07-02,Abbottabad,Gastroenteritis,4,26.8,60.9,3.0,291,0.37,34.0,92.0,22.752380952380953
2017-10-08,Abbottabad,Gastroenteritis,7,29.9,73.2,4.4,585,0.41,39.0,82.0,34.166666666666664
2017-10-15,Abbottabad,Gastroenteritis,8,42.7,58.4,3.1,255,0.78,35.0,80.0,15.68809523809524
2018-02-04,Abbottabad,Gastroenteritis,13,26.0,88.0,12.4,915,0.56,32.0,79.0,49.595238095238095
2019-05-19,Abbottabad,Gastroenteritis,8,27.6,57.7,16.4,942,0.87,36.0,70.0,43.438095238095244
2019-09-15,Abbottabad,Gastroenteritis,1,34.6,41.0,16.3,632,0.4,30.0,69.0,38.45476190476191
2019-12-08,Abbottabad,Gastroenteritis,7,25.2,68.4,17.5,180,0.78,29.0,64.0,19.81666666666667
2020-02-09,Abbottabad,Gastroenteritis,12,34.7,51.2,12.0,320,0.31,28.0,60.0,33.99047619047619
2020-03-01,Abbottabad,Gastroenteritis,10,35.4,42.7,9.6,332,0.49,30.0,66.0,28.44761904761905
2020-10-11,Abbottabad,Gastroenteritis,8,25.8,85.2,8.3,451,0.87,37.0,67.0,23.021428571428572
2021-01-17,Abbottabad,Gastroenteritis,12,29.7,82.8,18.3,731,0.87,42.0,71.0,39.6404761904762
2021-02-07,Abbottabad,Gastroenteritis,4,34.3,71.0,11.5,820,0.51,34.0,62.0,41.83571428571429
2021-02-28,Abbottabad,Gastroenteritis,10,26.2,88.3,2.6,298,0.57,34.0,64.0,22.214285714285715
2021-03-14,Abbottabad,Gastroenteritis,19,36.9,55.6,9.9,142,0.85,45.0,82.0,20.207142857142856
2021-04-11,Abbottabad,Gastroenteritis,7,36.2,75.8,7.7,715,0.95,40.0,82.0,29.349999999999998
2021-05-09,Abbottabad,Gastroenteritis,16,28.4,85.2,19.7,701,0.95,52.0,86.0,40.02619047619048
2021-06-06,Abbottabad,Gastroenteritis,13,24.3,79.3,19.7,949,0.72,55.0,89.0,51.17857142857143
2021-08-29,Abbottabad,Gastroenteritis,11,29.0,58.1,12.1,662,0.53,47.0,92.0,40.469047619047615
2021-09-12,Abbottabad,Gastroenteritis,6,25.9,55.1,13.0,478,0.54,46.0,86.0,31.728571428571428
2021-10-24,Abbottabad,Gastroenteritis,5,33.1,66.7,19.0,182,0.84,35.0,87.0,18.29047619047619
2021-12-19,Abbottabad,Gastroenteritis,6,31.0,63.9,11.0,551,0.73,28.0,83.0,29.36190476190476
2022-04-24,Abbottabad,Gastroenteritis,18,32.9,77.2,15.4,736,0.71,35.0,82.0,44.98571428571429
2022-05-08,Abbottabad,Gastroenteritis,11,28.8,50.1,14.7,993,0.52,40.0,86.0,53.002380952380946
2022-07-10,Abbottabad,Gastroenteritis,17,35.3,73.1,0.1,306,0.43,52.0,87.0,28.030952380952385
2022-08-28,Abbottabad,Gastroenteritis,1,22.6,84.1,7.8,989,0.52,47.0,75.0,43.70476190476191
2022-11-13,Abbottabad,Gastroenteritis,19,35.9,74.4,10.4,242,0.72,48.0,83.0,26.390476190476193
2023-01-01,Abbottabad,Gastroenteritis,5,34.0,71.6,5.1,485,0.77,42.0,82.0,22.840476190476192
2023-04-02,Abbottabad,Gastroenteritis,3,31.9,59.0,3.9,640,0.33,28.0,80.0,35.06428571428572
2023-04-23,Abbottabad,Gastroenteritis,7,29.9,46.6,17.8,887,0.45,34.0,81.0,50.13333333333333
2023-05-21,Abbottabad,Gastroenteritis,7,30.8,49.2,13.8,347,0.74,22.0,70.0,24.333333333333336
2023-11-26,Abbottabad,Gastroenteritis,17,25.4,51.1,16.8,731,0.51,34.0,76.0,48.94761904761904
2024-06-09,Abbottabad,Gastroenteritis,13,31.1,67.4,3.2,187,0.72,44.0,72.0,17.528571428571432
2024-08-11,Abbottabad,Gastroenteritis,5,27.5,65.5,16.1,936,0.78,42.0,76.0,43.173809523809524
2025-03-02,Abbottabad,Gastroenteritis,7,20.6,78.1,15.4,723,0.62,42.0,64.0,40.06666666666667
2025-03-16,Abbottabad,Gastroenteritis,3,26.1,76.3,16.6,180,0.41,28.0,62.0,24.480952380952388
2025-06-22,Abbottabad,Gastroenteritis,5,31.2,40.8,2.1,477,0.43,20.0,64.0,27.873809523809527
2025-08-10,Abbottabad,Gastroenteritis,3,34.5,58.2,10.3,653,0.97,18.0,60.0,25.897619047619045
2025-10-12,Abbottabad,Gastroenteritis,4,32.3,86.3,12.7,942,0.49,15.0,57.0,46.90238095238095
2015-02-22,Abbottabad,Heat Stroke,12,30.0,80.4,14.2,141,0.81,12.0,12.0,19.123809523809523
2015-03-08,Abbottabad,Heat Stroke,2,32.6,59.2,2.9,282,0.68,14.0,14.0,15.059523809523807
2015-04-05,Abbottabad,Heat Stroke,20,35.9,65.6,15.1,649,0.39,34.0,34.0,49.47857142857143
