date,district,lat,lon,disease,cases,lag_1,lag_2,lag_3,temperature,humidity,rainfall,population_density,sanitation_score
2015-03-14,Sheikhupura,31.7131,73.9783,GI Infections,7,3,2,6,34.7,78.3,35.9,2990,42
2015-03-14,Multan,30.1575,71.5249,Influenza,5,9,0,1,36.4,75.3,34.4,1743,34
2015-03-02,Karachi South,24.809,66.991,Skin Infections,2,8,5,5,31.9,69.8,27.3,3410,90
2015-01-31,Gujranwala,32.1877,74.1945,Polio,13,0,4,4,24.6,67.8,15.4,3361,37
2015-04-22,Hyderabad,25.396,68.3578,Cholera,0,2,0,8,41.2,82.2,43.9,2527,79
2015-01-22,Dera Ghazi Khan,30.0561,70.6347,Influenza,9,13,8,11,21.7,67.3,6.8,1782,70
2015-04-01,Sargodha,32.0836,72.6711,Allergies,5,2,6,8,39.1,81.3,40.1,2649,30
2015-03-26,Turbat,26.0043,63.0488,Typhoid,9,3,0,0,37.6,79.9,39.4,2245,70
2015-05-28,Lahore,31.5497,74.3436,Dengue,7,1,9,5,37.8,73.5,24.6,2677,60
2015-04-28,Rawalpindi,33.6167,73.0667,Influenza,3,2,5,4,40.5,78.0,37.6,1514,35
2015-04-16,Sialkot,32.4945,74.5229,Rotavirus,4,5,6,6,37.9,81.0,37.8,2870,73
2015-03-17,Sukkur,27.705,68.857,Eye Infections,9,2,0,3,34.8,77.7,37.8,4954,59
2015-04-01,Peshawar,34.0151,71.5805,Dengue,0,7,1,8,37.5,78.8,37.9,1934,48
2015-04-07,Sukkur,27.705,68.857,Dengue,12,9,5,4,38.0,83.9,40.7,4954,59
2015-05-04,Sheikhupura,31.7131,73.9783,Measles,2,7,11,5,40.6,79.6,36.2,2990,42
2015-03-26,Larkana,27.56,68.21,Cholera,0,0,6,1,37.9,76.1,35.9,2445,71
2015-04-22,Larkana,27.56,68.21,Mumps,9,0,4,2,38.4,83.9,39.5,2445,71
2015-02-27,Gujranwala,32.1877,74.1945,COVID19,5,6,12,0,32.6,73.7,29.6,3361,37
2015-05-01,Faisalabad,31.4181,73.0798,Tuberculosis,7,4,0,1,39.7,78.6,36.2,1101,39
2015-01-28,Gujranwala,32.1877,74.1945,Pneumonia,6,2,0,5,25.0,67.4,10.1,3361,37
2015-04-07,Hyderabad,25.396,68.3578,Typhoid,4,2,5,5,38.6,82.6,43.6,2527,79
2015-03-26,Sialkot,32.4945,74.5229,Tuberculosis,6,8,8,4,35.9,76.0,38.2,2870,73
2015-02-27,Dera Ghazi Khan,30.0561,70.6347,Allergies,5,7,1,5,32.4,75.1,24.8,1782,70
2015-03-20,Sargodha,32.0836,72.6711,COVID19,22,17,24,21,34.9,79.3,34.6,2649,30
2015-02-21,Karachi South,24.809,66.991,Hepatitis E,5,1,7,10,30.8,76.9,25.4,3410,90
2015-01-19,Gwadar,25.1214,62.3256,COVID19,4,2,3,8,22.5,61.6,5.9,3206,36
2015-04-10,Larkana,27.56,68.21,Rotavirus,1,6,8,3,40.2,78.9,38.6,2445,71
2015-03-08,Bahawalpur,29.3956,71.6833,Pneumonia,6,13,1,5,34.0,76.6,29.7,1135,66
2015-01-01,Turbat,26.0043,63.0488,Malaria,4,0,0,0,19.6,51.8,0.0,2245,70
2015-04-04,Sheikhupura,31.7131,73.9783,Malaria,6,6,10,0,40.5,82.0,39.3,2990,42
2015-01-16,Rawalpindi,33.6167,73.0667,Skin Infections,9,3,2,3,22.5,60.5,3.0,1514,35
2015-02-15,Bahawalpur,29.3956,71.6833,COVID19,2,6,8,8,29.2,71.6,24.3,1135,66
2015-02-15,Faisalabad,31.4181,73.0798,Polio,1,2,6,5,27.7,71.2,20.4,1101,39
2015-03-14,Faisalabad,31.4181,73.0798,COVID19,16,21,18,17,35.6,74.8,33.9,1101,39
2015-01-01,Sukkur,27.705,68.857,Rotavirus,2,0,0,0,16.6,56.5,0.0,4954,59
2015-04-25,Faisalabad,31.4181,73.0798,Measles,1,6,8,4,40.7,79.7,38.9,1101,39
2015-04-16,Rawalpindi,33.6167,73.0667,Rubella,5,5,7,3,39.7,79.5,39.3,1514,35
2015-01-28,Larkana,27.56,68.21,Hepatitis E,1,5,8,7,24.9,64.2,8.4,2445,71
2015-04-01,Dera Ghazi Khan,30.0561,70.6347,Pneumonia,6,8,9,11,38.7,77.7,38.7,1782,70
2015-05-22,Hyderabad,25.396,68.3578,Tuberculosis,3,0,3,7,39.4,73.2,32.1,2527,79
2015-03-23,Rawalpindi,33.6167,73.0667,Hepatitis A,6,0,7,5,37.2,79.8,37.8,1514,35
2015-04-01,Larkana,27.56,68.21,Skin Infections,4,6,5,7,38.0,77.5,43.6,2445,71
2015-05-07,Quetta,30.1798,66.975,Mumps,2,2,5,6,40.3,75.9,36.8,2413,46
2015-03-02,Faisalabad,31.4181,73.0798,Measles,6,7,3,3,34.3,71.1,32.2,1101,39
2015-04-07,Jhelum,32.9333,73.7333,Tuberculosis,0,6,8,5,36.7,80.3,42.4,3536,73
2015-02-21,Larkana,27.56,68.21,COVID19,0,1,1,1,30.5,72.7,20.6,2445,71
2015-03-02,Larkana,27.56,68.21,Tuberculosis,2,6,10,4,32.0,77.1,31.9,2445,71
2015-04-01,Quetta,30.1798,66.975,Measles,4,8,3,3,38.2,77.4,39.2,2413,46
2015-04-16,Hyderabad,25.396,68.3578,Eye Infections,8,6,3,0,38.7,78.5,42.2,2527,79
2015-03-26,Sialkot,32.4945,74.5229,Mumps,3,3,5,1,35.9,76.0,38.2,2870,73
2015-03-26,Islamabad,33.6844,73.0479,Measles,7,4,8,6,38.2,80.0,34.6,2816,30
2015-04-01,Peshawar,34.0151,71.5805,Cholera,1,5,0,6,37.5,78.8,37.9,1934,48
2015-03-23,Islamabad,33.6844,73.0479,Skin Infections,7,8,10,0,36.0,77.9,41.5,2816,30
2015-05-28,Faisalabad,31.4181,73.0798,Mumps,1,6,6,7,37.9,71.3,27.0,1101,39
2015-03-05,Sialkot,32.4945,74.5229,Skin Infections,3,8,6,2,34.8,76.2,33.0,2870,73
2015-02-18,Quetta,30.1798,66.975,Hepatitis A,3,5,5,4,29.9,75.4,22.7,2413,46
2015-02-15,Rawalpindi,33.6167,73.0667,Dengue,5,0,3,2,28.9,70.8,21.0,1514,35
2015-04-10,Sialkot,32.4945,74.5229,Hepatitis E,6,1,12,4,37.5,78.6,43.0,2870,73
2015-05-01,Multan,30.1575,71.5249,COVID19,0,19,21,18,39.9,79.9,36.2,1743,34
2015-01-04,Larkana,27.56,68.21,Cholera,5,0,0,0,20.6,56.9,0.0,2445,71
2015-03-20,Bahawalpur,29.3956,71.6833,Allergies,4,3,8,4,37.1,78.4,36.7,1135,66
2015-04-22,Quetta,30.1798,66.975,Allergies,6,8,4,3,38.7,77.9,38.2,2413,46
2015-01-01,Larkana,27.56,68.21,GI Infections,2,0,0,0,18.9,58.2,0.0,2445,71
2015-01-31,Multan,30.1575,71.5249,Mumps,1,3,7,6,27.6,61.8,12.2,1743,34
2015-03-23,Sukkur,27.705,68.857,Typhoid,0,6,2,7,38.0,77.1,41.0,4954,59
2015-02-24,Larkana,27.56,68.21,Hepatitis E,2,0,4,5,33.7,74.3,27.8,2445,71
2015-02-09,Quetta,30.1798,66.975,Measles,2,7,2,7,28.0,69.1,19.8,2413,46
2015-05-25,Islamabad,33.6844,73.0479,Pneumonia,4,1,11,7,37.5,73.8,30.1,2816,30
2015-01-13,Dera Ghazi Khan,30.0561,70.6347,Measles,4,2,3,9,21.8,58.5,2.9,1782,70
2015-02-03,Sargodha,32.0836,72.6711,Rubella,9,0,5,4,27.2,68.0,18.9,2649,30
2015-03-08,Sargodha,32.0836,72.6711,Influenza,0,2,4,9,34.1,80.8,32.9,2649,30
2015-04-07,Gwadar,25.1214,62.3256,Asthma,6,0,6,1,37.1,76.7,42.4,3206,36
2015-04-07,Bahawalpur,29.3956,71.6833,Hepatitis A,8,4,6,1,39.9,80.9,39.3,1135,66
2015-04-19,Rawalpindi,33.6167,73.0667,Measles,6,0,3,1,37.9,80.6,40.0,1514,35
2015-02-12,Islamabad,33.6844,73.0479,Eye Infections,7,4,1,4,28.5,73.2,17.9,2816,30
2015-05-22,Peshawar,34.0151,71.5805,Asthma,4,3,6,8,39.2,76.2,33.2,1934,48
2015-03-02,Sargodha,32.0836,72.6711,Measles,6,8,5,6,32.0,74.2,32.4,2649,30
2015-01-22,Bahawalpur,29.3956,71.6833,Pneumonia,3,0,2,9,22.9,62.2,6.0,1135,66
2015-02-09,Sargodha,32.0836,72.6711,Asthma,0,3,4,5,28.6,71.3,17.3,2649,30
2015-04-16,Gujranwala,32.1877,74.1945,Influenza,5,0,1,5,40.3,83.9,42.3,3361,37
2015-05-25,Karachi South,24.809,66.991,Typhoid,4,6,5,2,39.3,71.8,28.3,3410,90
2015-05-19,Faisalabad,31.4181,73.0798,Asthma,0,5,7,9,40.6,75.0,33.9,1101,39
2015-01-16,Rawalpindi,33.6167,73.0667,Rubella,1,7,4,3,22.5,60.5,3.0,1514,35
2015-05-10,Lahore,31.5497,74.3436,Eye Infections,0,6,4,3,40.1,78.7,34.2,2677,60
2015-01-10,Jhelum,32.9333,73.7333,Pneumonia,6,7,10,0,20.0,59.6,1.6,3536,73
2015-05-28,Larkana,27.56,68.21,Polio,8,2,0,5,38.1,73.9,29.7,2445,71
2015-02-09,Sialkot,32.4945,74.5229,Allergies,0,4,5,2,29.3,68.5,17.0,2870,73
2015-04-16,Multan,30.1575,71.5249,Polio,4,5,6,5,38.5,79.2,44.3,1743,34
2015-01-10,Larkana,27.56,68.21,Eye Infections,6,9,6,7,20.2,59.8,0.0,2445,71
2015-04-13,Gujranwala,32.1877,74.1945,Tuberculosis,4,4,4,3,40.4,78.0,41.0,3361,37
2015-03-02,Gujranwala,32.1877,74.1945,Eye Infections,4,3,4,8,31.5,77.6,32.1,3361,37
2015-03-05,Hyderabad,25.396,68.3578,Mumps,4,9,4,7,32.8,75.7,30.8,2527,79
2015-05-28,Quetta,30.1798,66.975,Cholera,4,6,4,6,39.0,75.8,30.4,2413,46
2015-01-10,Jhelum,32.9333,73.7333,Rotavirus,7,0,0,5,20.0,59.6,1.6,3536,73
2015-04-04,Faisalabad,31.4181,73.0798,Polio,2,14,3,2,39.2,78.0,40.9,1101,39
2015-05-10,Peshawar,34.0151,71.5805,Cholera,5,4,0,1,39.7,77.3,33.0,1934,48
2015-04-10,Faisalabad,31.4181,73.0798,Tuberculosis,3,3,6,7,39.4,80.6,42.5,1101,39
2015-01-25,Turbat,26.0043,63.0488,Influenza,12,15,8,11,24.6,65.4,6.9,2245,70
2015-02-27,Lahore,31.5497,74.3436,Hepatitis A,4,5,4,6,31.8,73.4,30.1,2677,60
2015-01-28,Faisalabad,31.4181,73.0798,Hepatitis E,7,4,4,2,24.0,68.7,10.5,1101,39
2015-02-21,Multan,30.1575,71.5249,Hepatitis A,5,6,5,2,31.1,73.2,24.2,1743,34
2015-01-28,Rawalpindi,33.6167,73.0667,Pneumonia,3,1,4,7,23.7,64.9,12.0,1514,35
2015-05-28,Turbat,26.0043,63.0488,Measles,0,7,2,3,40.6,72.9,25.2,2245,70
2015-04-04,Larkana,27.56,68.21,GI Infections,9,2,7,5,39.2,77.2,38.0,2445,71
2015-01-10,Karachi South,24.809,66.991,Allergies,2,6,5,9,20.2,59.4,0.0,3410,90
2015-02-12,Gujranwala,32.1877,74.1945,Hepatitis E,3,6,9,5,29.5,67.3,22.5,3361,37
2015-05-19,Multan,30.1575,71.5249,Rotavirus,3,8,7,5,41.4,76.5,31.8,1743,34
2015-03-17,Sheikhupura,31.7131,73.9783,Rubella,9,6,6,4,34.9,77.1,37.9,2990,42
2015-04-16,Jhelum,32.9333,73.7333,Allergies,0,7,2,6,40.0,78.4,36.2,3536,73
2015-02-24,Gwadar,25.1214,62.3256,Influenza,11,10,12,11,30.0,72.7,24.7,3206,36
2015-01-10,Peshawar,34.0151,71.5805,Rubella,6,3,6,13,20.6,62.6,0.0,1934,48
2015-01-04,Sargodha,32.0836,72.6711,Dengue,6,0,0,0,18.3,57.0,0.0,2649,30
2015-03-23,Quetta,30.1798,66.975,Influenza,5,5,5,4,36.3,78.5,38.1,2413,46
2015-01-13,Jhelum,32.9333,73.7333,GI Infections,10,6,4,3,20.5,60.8,0.5,3536,73
2015-02-21,Gwadar,25.1214,62.3256,Pneumonia,6,0,6,1,27.9,71.7,23.8,3206,36
2015-04-04,Sheikhupura,31.7131,73.9783,Mumps,2,8,4,6,40.5,82.0,39.3,2990,42
2015-05-07,Rawalpindi,33.6167,73.0667,Typhoid,6,2,4,2,40.0,77.2,37.2,1514,35
2015-04-28,Larkana,27.56,68.21,Mumps,5,5,9,0,40.2,75.6,39.0,2445,71
2015-04-19,Sialkot,32.4945,74.5229,Cholera,0,0,3,3,37.0,76.5,39.4,2870,73
2015-05-01,Lahore,31.5497,74.3436,Rubella,7,9,5,2,39.3,75.3,40.4,2677,60
2015-01-28,Sukkur,27.705,68.857,Rotavirus,6,1,8,5,24.0,66.4,9.6,4954,59
2015-01-19,Multan,30.1575,71.5249,Pneumonia,1,3,5,7,21.8,63.2,3.2,1743,34
2015-03-17,Peshawar,34.0151,71.5805,Measles,10,7,0,2,36.4,74.8,35.2,1934,48
2015-03-05,Sialkot,32.4945,74.5229,GI Infections,5,9,1,6,34.8,76.2,33.0,2870,73
2015-03-11,Dera Ghazi Khan,30.0561,70.6347,Asthma,0,5,8,4,35.5,80.5,33.2,1782,70
2015-05-19,Lahore,31.5497,74.3436,Asthma,1,3,10,5,37.2,78.3,37.8,2677,60
2015-05-25,Sukkur,27.705,68.857,Hepatitis A,6,5,8,7,38.3,74.0,31.8,4954,59
2015-04-13,Karachi South,24.809,66.991,Rubella,7,13,4,4,39.1,81.4,37.0,3410,90
2015-01-31,Gujranwala,32.1877,74.1945,Asthma,9,0,3,7,24.6,67.8,15.4,3361,37
2015-03-08,Quetta,30.1798,66.975,Skin Infections,7,2,0,1,32.4,79.0,34.6,2413,46
2015-03-20,Larkana,27.56,68.21,Tuberculosis,1,7,7,10,36.0,77.5,33.6,2445,71
2015-03-14,Bahawalpur,29.3956,71.6833,COVID19,19,15,19,21,35.2,78.7,35.0,1135,66
2015-04-28,Multan,30.1575,71.5249,Rubella,5,6,2,4,39.4,83.2,39.8,1743,34
2015-02-09,Larkana,27.56,68.21,Hepatitis E,4,4,5,7,27.4,69.8,16.3,2445,71
2015-02-03,Rawalpindi,33.6167,73.0667,Malaria,7,5,4,5,27.3,68.3,20.8,1514,35
2015-04-22,Bahawalpur,29.3956,71.6833,Allergies,4,2,6,4,39.5,80.7,40.2,1135,66
2015-04-13,Faisalabad,31.4181,73.0798,Rotavirus,2,0,1,11,41.1,81.3,40.0,1101,39
2015-01-16,Hyderabad,25.396,68.3578,Typhoid,2,4,6,8,21.3,62.9,3.0,2527,79
2015-01-16,Multan,30.1575,71.5249,Tuberculosis,4,6,5,2,20.7,59.3,6.8,1743,34
2015-03-14,Gwadar,25.1214,62.3256,Dengue,0,0,5,7,34.3,74.4,36.3,3206,36
2015-04-22,Faisalabad,31.4181,73.0798,Hepatitis A,8,4,7,7,39.3,81.2,37.6,1101,39
2015-04-01,Karachi South,24.809,66.991,COVID19,22,20,18,22,38.2,79.0,38.6,3410,90
2015-02-27,Sargodha,32.0836,72.6711,Pneumonia,5,5,8,3,31.6,74.4,26.5,2649,30
2015-05-10,Dera Ghazi Khan,30.0561,70.6347,Influenza,6,8,2,2,38.1,76.5,39.8,1782,70
2015-01-31,Peshawar,34.0151,71.5805,Rotavirus,5,5,5,4,25.2,67.4,12.6,1934,48
2015-01-13,Karachi South,24.809,66.991,Rubella,7,3,7,4,20.6,64.1,0.7,3410,90
2015-05-13,Gwadar,25.1214,62.3256,COVID19,6,3,1,11,40.7,80.2,33.7,3206,36
2015-02-15,Gujranwala,32.1877,74.1945,Mumps,5,4,6,0,28.7,72.8,23.3,3361,37
2015-01-01,Quetta,30.1798,66.975,Rubella,0,0,0,0,18.4,59.3,0.0,2413,46
2015-02-21,Lahore,31.5497,74.3436,Mumps,4,4,9,11,30.3,72.2,24.7,2677,60
2015-04-28,Turbat,26.0043,63.0488,Cholera,2,0,2,4,38.8,80.5,35.0,2245,70
2015-03-20,Karachi South,24.809,66.991,Measles,5,0,4,0,36.6,79.2,36.7,3410,90
2015-03-29,Gwadar,25.1214,62.3256,Mumps,3,2,1,0,37.0,81.3,39.9,3206,36
2015-01-31,Bahawalpur,29.3956,71.6833,Pneumonia,5,0,0,3,25.7,61.8,10.0,1135,66
2015-03-23,Sukkur,27.705,68.857,Dengue,4,2,5,0,38.0,77.1,41.0,4954,59
2015-01-31,Lahore,31.5497,74.3436,Eye Infections,0,8,6,7,26.3,65.7,11.9,2677,60
2015-05-01,Gujranwala,32.1877,74.1945,Rotavirus,6,11,0,5,40.3,77.9,37.3,3361,37
2015-02-21,Multan,30.1575,71.5249,Allergies,0,5,5,1,31.1,73.2,24.2,1743,34
2015-04-19,Bahawalpur,29.3956,71.6833,Polio,6,5,3,1,41.1,82.2,40.7,1135,66
2015-01-07,Gwadar,25.1214,62.3256,Influenza,11,6,18,0,20.0,55.7,0.0,3206,36
2015-03-08,Karachi South,24.809,66.991,Rotavirus,0,5,5,4,33.7,78.7,29.4,3410,90
2015-05-19,Turbat,26.0043,63.0488,Rubella,5,4,10,8,39.2,75.2,31.8,2245,70
2015-04-22,Faisalabad,31.4181,73.0798,Dengue,3,0,6,2,39.3,81.2,37.6,1101,39
2015-05-01,Rawalpindi,33.6167,73.0667,GI Infections,2,4,5,8,39.2,75.8,38.4,1514,35
2015-05-13,Sialkot,32.4945,74.5229,Hepatitis E,6,2,3,10,41.2,77.7,35.2,2870,73
2015-05-25,Faisalabad,31.4181,73.0798,Rotavirus,10,4,2,1,38.5,77.4,25.6,1101,39
2015-01-28,Karachi South,24.809,66.991,Cholera,2,3,3,7,24.7,62.6,12.7,3410,90
2015-01-04,Hyderabad,25.396,68.3578,Pneumonia,5,9,0,0,17.9,55.3,0.0,2527,79
2015-05-22,Islamabad,33.6844,73.0479,Tuberculosis,7,6,11,3,38.5,75.6,32.6,2816,30
2015-01-28,Islamabad,33.6844,73.0479,Polio,7,1,6,7,25.8,64.5,12.3,2816,30
2015-03-14,Turbat,26.0043,63.0488,Dengue,1,1,4,2,37.0,80.6,36.2,2245,70
2015-05-04,Jhelum,32.9333,73.7333,Hepatitis E,7,4,9,3,37.9,77.7,33.1,3536,73
2015-04-04,Quetta,30.1798,66.975,Influenza,7,9,10,7,39.0,81.4,38.8,2413,46
2015-01-01,Karachi South,24.809,66.991,Hepatitis E,5,0,0,0,18.7,58.1,0.0,3410,90
2015-02-18,Rawalpindi,33.6167,73.0667,Hepatitis A,4,0,0,8,29.3,72.3,26.2,1514,35
2015-04-07,Hyderabad,25.396,68.3578,Hepatitis A,7,3,0,0,38.6,82.6,43.6,2527,79
2015-03-20,Jhelum,32.9333,73.7333,Influenza,0,6,9,4,35.7,78.6,36.6,3536,73
2015-04-19,Sargodha,32.0836,72.6711,Hepatitis A,4,1,9,6,38.7,82.8,42.4,2649,30
2015-04-22,Multan,30.1575,71.5249,Influenza,1,4,3,2,39.3,77.5,41.6,1743,34
2015-04-13,Larkana,27.56,68.21,Dengue,7,5,1,4,40.1,79.5,41.2,2445,71
2015-03-29,Turbat,26.0043,63.0488,Influenza,4,6,0,7,37.4,82.7,42.6,2245,70
2015-02-06,Jhelum,32.9333,73.7333,Allergies,7,9,1,1,27.6,68.0,16.8,3536,73
2015-05-13,Sukkur,27.705,68.857,Malaria,10,5,5,8,39.5,77.6,35.9,4954,59
2015-01-04,Karachi South,24.809,66.991,Tuberculosis,3,5,0,0,18.2,61.9,0.0,3410,90
2015-01-10,Faisalabad,31.4181,73.0798,Polio,0,9,0,5,19.6,58.0,0.0,1101,39
2015-03-26,Sheikhupura,31.7131,73.9783,Rubella,10,5,3,9,36.5,79.6,37.5,2990,42
2015-04-07,Turbat,26.0043,63.0488,Rubella,7,4,4,3,40.3,80.9,38.3,2245,70
2015-04-07,Gujranwala,32.1877,74.1945,Measles,9,0,6,8,39.8,77.7,41.2,3361,37
2015-04-28,Bahawalpur,29.3956,71.6833,Influenza,4,2,4,0,38.5,80.0,40.2,1135,66
